,title,Directed by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Running time (int),Budget (float),Box office (float),Release date (datetime),imdb,metascore,rotten_tomatoes,Based on,Production companies,Release date,Production company,Written by,Narration by,Languages,Countries,Narrated by,Japanese,Hepburn,Simplified,Mandarin
0,Mystic Pizza,Donald Petrie,"['Amy Holden Jones', 'Perry Howze', 'Randy Howze', 'Alfred Uhry']",Amy Holden Jones,"['Mark Levinson', 'Scott Rosenfelt']","['Annabeth Gish', 'Julia Roberts', 'Lili Taylor', ""Vincent D'Onofrio"", 'William R. Moses', 'Adam Storke', 'Conchata Ferrell']",Tim Suhrstedt,"['Don Brochu', 'Marion Rothman']",David McHugh,The Samuel Goldwyn Company,"['October 18, 1988 ( 1988-10-18 ) (premiere)', 'October 21, 1988 ( 1988-10-21 ) (United States)']",104 minutes,United States,English,$6 million,$14 million,104.0,6000000.0,14000000.0,,6.3,60,78%,,,,,,,,,,,,,
1,The Good Mother,Leonard Nimoy,Michael Bortman,,Arne Glimcher,"['Diane Keaton', 'Liam Neeson', 'Jason Robards', 'Ralph Bellamy']",David Watkin,Peter E. Berger,Elmer Bernstein,Buena Vista Pictures Distribution,,103 minutes,United States,English,$14 million,"$4,764,606",103.0,14000000.0,4764606.0,1988-11-04,5.7,N/A,50%,"['The Good Mother', 'by', 'Sue Miller']","['Touchstone Pictures', 'Silver Screen Partners IV']","['November 4, 1988 ( 1988-11-04 )']",,,,,,,,,,
2,Field of Dreams,Phil Alden Robinson,Phil Alden Robinson,,"['Lawrence Gordon', 'Charles Gordon']","['Kevin Costner', 'Amy Madigan', 'James Earl Jones', 'Ray Liotta', 'Burt Lancaster']",John Lindley,Ian Crafford,James Horner,"['Universal Pictures (United States)', 'Carolco Pictures (International)']",,107 minutes,United States,English,$15 million,$84.4 million,107.0,15000000.0,84400000.0,1989-05-05,7.5,57,88%,"['Shoeless Joe', 'by', 'W.P. Kinsella']",,"['May 5, 1989 ( 1989-05-05 ) (United States)']",Gordon Company,,,,,,,,,
3,School Ties,Robert Mandel,"['Dick Wolf', 'Darryl Ponicsan']",Dick Wolf,"['Stanley R. Jaffe', 'Sherry Lansing', 'Michael Tadross']",Brendan Fraser,Freddie Francis,"['Jerry Greenberg', 'Jacqueline Cambas']",Maurice Jarre,Paramount Pictures,,110 minutes,United States,English,$18 million,$14.7 million,110.0,18000000.0,14700000.0,1992-09-11,6.9,65,60%,,,"['September 11, 1992 ( 1992-09-11 )']",Jaffe/Lansing Production,,,,,,,,,
4,Geronimo: An American Legend,Walter Hill,,John Milius,"['Neil Canton', 'Walter Hill']","['Jason Patric', 'Robert Duvall', 'Gene Hackman', 'Matt Damon', 'Wes Studi']",Lloyd Ahern,"['Donn Aron', 'Carmel Davies']",Ry Cooder,Columbia Pictures,,115 minutes,United States,English,$35 million,$18.6 million,115.0,35000000.0,18600000.0,1993-12-10,6.5,58,48%,,,"['December 10, 1993 ( 1993-12-10 )']",,"['John Milius', 'Larry Gross']",,,,,,,,
5,Glory Daze,Rich Wilkes,,,"['Michael Scott Bloom', 'Chris J. Slater', '(co-producer)']","['Ben Affleck', 'Sam Rockwell', 'Megan Ward', 'French Stewart']",Christopher Taylor,Richard Candib,Warren Fitzgerald,"['Fusion Studios, Inc.', 'Woodward Productions', 'Weiny Bro Productions']","['October 1, 1995 ( 1995-10-01 ) ( Hamptons International Film Festival )', 'July 27, 1996 ( 1996-19-27 ) (theatrical)']",100 minutes,United States,English,,"$15,134",100.0,,15134.0,,5.6,N/A,,,,,Seventh Art Productions,Rich Wilkes,,,,,,,,
6,Courage Under Fire,Edward Zwick,,,"['John Davis', 'Joseph M. Singer', 'David T. Friendly']","['Denzel Washington', 'Meg Ryan', 'Lou Diamond Phillips', 'Michael Moriarty', 'Matt Damon', 'Seth Gilliam', 'Bronson Pinchot', 'Scott Glenn']",Roger Deakins,Steven Rosenblum,James Horner,20th Century Fox,,116 minutes,,English,,$100.9 million,116.0,,100900000.0,1996-07-12,6.6,77,86%,,"['Davis Entertainment', 'Joseph M. Singer Entertainment', 'Friendly Films', 'Fox 2000 Pictures']","['July 12, 1996 ( 1996-07-12 )']",,Patrick Sheane Duncan,,,,,,,,
7,Chasing Amy,Kevin Smith,,,Scott Mosier,"['Ben Affleck', 'Joey Lauren Adams', 'Jason Lee', 'Dwight Ewell', 'Jason Mewes']",David Klein,"['Scott Mosier', 'Kevin Smith']",David Pirner,Miramax Films,,113 minutes,United States,English,"$250,000",$12 million,113.0,250000.0,12000000.0,1997-04-04,7.2,71,86%,,"['View Askew Productions', 'Too Askew Prod., Inc.']","['April 4, 1997 ( 1997-04-04 )']",,Kevin Smith,,,,,,,,
8,The Rainmaker,Francis Ford Coppola,Francis Ford Coppola,,"['Michael Douglas', 'Fred Fuchs', 'Steven Reuther']","['Matt Damon', 'Claire Danes', 'Jon Voight', 'Mary Kay Place', 'Mickey Rourke', 'Danny DeVito']",John Toll,"['Melissa Kent', 'Barry Malkin']",Elmer Bernstein,Paramount Pictures,,135 minutes,United States,English,$40 million,$45.9 million,135.0,40000000.0,45900000.0,1997-11-21,7.2,72,83%,"['The Rainmaker', 'by', 'John Grisham']","['American Zoetrope', 'Constellation Films']","['November 21, 1997 ( 1997-11-21 )']",,,Michael Herr,,,,,,,
9,Good Will Hunting,Gus Van Sant,,,Lawrence Bender,"['Robin Williams', 'Matt Damon', 'Ben Affleck', 'Stellan Skarsgård', 'Minnie Driver']",Jean-Yves Escoffier,Pietro Scalia,Danny Elfman,Miramax Films,"['December 2, 1997 ( 1997-12-02 ) ( Bruin Theater )', 'December 5, 1997 ( 1997-12-05 ) (United States)']",126 minutes,United States,English,$10 million,$225.9 million,126.0,10000000.0,225900000.0,,8.3,70,96%,,,,Be Gentlemen,"['Ben Affleck', 'Matt Damon']",,,,,,,,
